stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2317,2023-07-26,WAIT,0.2,0.0,1.0,0.0,111.5,109.1,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-3.139,-1.3453,-1.7937,-11.8386,-11.5695,-5.3812
2330,2023-07-26,AVOID,-0.1,0.0,-0.5,0.0,566.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-0.8834,-2.6502,-0.3534,-3.8869,2.6502,-5.1237
2412,2023-07-26,WAIT,0.2,0.0,1.0,0.0,117.0,115.58,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-0.8547,0.8547,0.4274,-1.2821,1.2821,-0.8547
2454,2023-07-26,AVOID,-0.2,0.0,-1.0,0.0,655.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),8.2443,5.8015,5.4962,24.5802,34.1985,0.0
2882,2023-07-26,AVOID,0.02,0.4,-0.7,0.0,45.35,,breakout without volume confirmation; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.8743,2.7563,-1.5436,-2.6461,-4.5204,-1.5436
2317,2023-07-27,WAIT,0.2,0.0,1.0,0.0,110.5,108.97,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),0.4525,-1.81,-2.2624,-10.4072,-9.5928,-4.5249
2330,2023-07-27,AVOID,-0.1,0.0,-0.5,0.0,569.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.6362,-4.0422,-4.0422,-4.3937,3.3392,-5.6239
2412,2023-07-27,WAIT,0.2,0.0,1.0,0.0,116.5,115.53,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.0,1.2876,0.0,-0.8584,1.7167,-0.4292
2454,2023-07-27,AVOID,-0.2,0.0,-1.0,0.0,658.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),7.2948,3.1915,5.4711,24.924,36.3222,0.0
2882,2023-07-27,WAIT,0.18,0.8,-0.7,0.0,46.0,46.0,breakout confirmed with volume; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.6522,0.9783,-3.2609,-4.0217,-5.8696,-3.2609
2317,2023-07-28,WAIT,0.2,0.0,1.0,0.0,109.5,108.8,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),0.0,0.4566,-1.3699,-10.0457,-8.2192,-3.653
2330,2023-07-28,WAIT,0.1,0.0,0.5,0.0,567.0,567.0,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-1.5873,-4.5855,-3.1746,-6.3492,10.4056,-5.291
2412,2023-07-28,WAIT,0.2,0.0,1.0,0.0,116.5,115.53,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-0.4292,0.4292,0.4292,-1.2876,2.1459,-0.4292
2454,2023-07-28,AVOID,-0.2,0.0,-1.0,0.0,658.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),7.2948,2.1277,6.535,24.1641,39.8176,0.0
2882,2023-07-28,AVOID,-0.14,0.0,-0.7,0.0,45.75,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.5301,-0.765,-0.765,-4.153,-4.2623,-2.7322
2317,2023-07-31,WAIT,0.1,0.0,0.5,0.0,108.5,108.47,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),1.8433,-1.3825,-2.3041,-9.4931,-7.9263,-2.765
2330,2023-07-31,WAIT,0.1,0.0,0.5,0.0,565.0,565.0,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.3009,-4.0708,-2.3009,-5.6637,10.7965,-4.9558
2412,2023-07-31,WAIT,0.1,0.0,0.5,0.0,116.0,115.58,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.431,0.8621,1.2931,-0.431,2.5862,0.0
2454,2023-07-31,WAIT,0.2,0.0,1.0,0.0,690.0,681.1,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),0.0,-1.7391,2.8986,16.087,33.6232,-3.0435
2882,2023-07-31,AVOID,-0.14,0.0,-0.7,0.0,45.75,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),2.8415,-0.765,0.6557,-3.388,-4.153,-2.7322
2317,2023-08-01,AVOID,-0.1,0.0,-0.5,0.0,110.5,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),0.0,-4.5249,-4.0724,-14.4796,-8.5973,-4.5249
